"Cond_1" "Cond_2" "Cond_3" "Cond_4" "Cond_5" "Cond_6" "Cond_7" "Cond_8" "Cond_9" "Cond_10" "Cond_11" "Cond_12" "Cond_13" "Cond_14" "Cond_15" "Cond_16" "Cond_17" "Cond_18"
11 8 15 14 10 16 8 16 16 9 12 15 24 24 26 19 13 24
18 17 15 10 11 17 18 11 14 12 7 15 15 17 25 18 27 29
15 13 16 10 8 13 10 16 11 12 10 8 26 26 17 10 17 18
14 10 11 14 16 14 9 15 20 12 13 13 29 17 23 25 23 23
13 13 13 5 10 14 6 16 21 12 11 12 30 20 21 27 22 30
14 19 10 8 11 17 8 9 11 13 13 16 20 25 22 24 24 31
14 21 10 16 11 10 12 12 10 10 16 19 16 25 27 28 22 21
19 11 9 18 13 14 17 13 10 8 15 11 24 13 20 18 22 29
10 13 9 12 10 21 11 15 13 10 19 15 17 25 15 22 22 21
9 12 17 15 10 12 12 12 13 15 13 17 24 24 16 16 19 16
12 13 16 11 13 12 9 15 14 11 7 15 28 19 13 26 12 19
8 12 11 15 17 14 11 15 17 9 15 9 21 18 29 14 22 24
14 9 8 6 14 15 11 15 10 11 18 12 25 21 22 29 18 21
7 12 12 8 12 18 14 10 13 12 20 17 24 20 20 20 20 18
14 16 14 13 12 13 11 23 19 11 12 13 19 16 28 14 26 35
8 15 20 7 20 24 16 16 19 14 14 9 19 22 26 16 18 26
11 16 17 15 10 10 12 11 15 16 13 13 15 24 23 25 11 23
14 14 12 11 20 13 14 14 16 18 15 14 21 13 23 22 13 29
14 18 9 12 19 18 6 18 10 14 16 12 23 15 20 14 19 24
13 13 12 17 12 14 12 22 13 14 13 12 26 17 31 12 18 19
13 15 16 14 9 12 17 12 13 10 14 19 16 18 22 25 18 24
9 9 17 13 11 16 15 13 12 13 12 20 24 21 22 21 14 16
10 13 13 10 17 12 13 13 15 11 11 14 18 24 18 24 18 17
16 7 14 20 12 13 11 18 17 10 15 9 19 21 22 22 18 25
16 17 10 15 7 16 14 6 14 13 14 16 22 26 22 19 20 18
12 12 8 14 6 16 16 15 13 9 13 17 25 25 21 25 19 24
15 14 12 12 13 15 13 13 12 17 19 20 22 24 16 20 21 26
12 11 13 13 15 15 11 9 12 13 9 15 14 19 23 19 27 27
13 21 16 10 14 18 13 17 15 21 13 18 23 21 18 27 26 28
9 17 20 15 8 15 11 16 16 12 16 13 28 13 20 24 24 28
12 17 16 12 13 19 16 11 13 11 11 17 20 18 19 15 18 25
12 15 10 12 12 9 11 12 16 12 8 13 14 22 17 20 21 12
9 25 12 18 14 16 11 14 14 10 11 15 22 17 26 27 18 25
7 19 13 15 11 8 14 9 13 17 11 23 23 17 26 22 14 17
7 11 16 15 10 12 13 12 10 13 11 17 21 18 16 22 28 21
12 13 16 12 12 13 14 13 12 16 18 14 24 22 27 12 20 24
12 12 13 16 13 16 15 11 12 10 9 19 24 15 27 20 22 35
12 15 7 11 13 14 11 16 15 14 15 13 19 19 21 18 13 23
9 10 16 13 16 16 2 12 15 6 14 12 15 19 28 19 30 27
11 16 10 13 13 10 12 11 10 16 17 8 22 27 21 27 21 27
8 11 8 15 16 21 15 14 19 13 16 17 21 19 29 24 21 24
13 6 16 9 13 15 11 13 14 20 10 13 19 16 29 24 17 13
13 7 8 15 18 8 10 14 8 15 15 11 19 27 23 15 21 19
12 11 16 15 7 11 15 10 16 14 15 15 19 23 19 21 15 21
11 19 17 8 15 13 12 17 8 13 13 17 17 20 32 17 16 27
8 14 17 12 14 12 15 10 17 9 12 13 27 20 19 21 21 23
19 14 15 11 14 17 12 7 17 19 11 16 23 16 28 19 26 25
14 14 16 14 13 12 12 15 12 15 13 9 20 18 16 22 15 25
11 14 18 15 10 11 7 15 10 9 15 11 25 23 20 18 15 19
12 11 19 7 14 8 11 15 8 13 16 15 22 16 17 26 26 19
17 9 15 13 11 12 14 14 14 10 11 10 32 19 20 19 18 24
12 17 15 15 8 12 16 18 16 9 13 14 22 25 31 30 18 21
10 19 21 4 15 18 12 13 14 14 14 14 24 23 14 17 19 23
16 7 10 9 14 9 13 12 14 9 13 15 25 17 25 20 23 11
17 17 19 16 12 15 10 13 11 13 18 13 27 20 27 25 20 23
11 14 18 13 12 12 11 14 10 14 13 9 16 14 29 20 23 14
10 12 12 13 11 14 8 11 19 9 12 17 23 25 18 21 19 15
13 19 17 8 10 14 14 13 15 10 13 11 22 15 17 26 24 27
11 13 11 14 14 14 11 15 7 11 20 10 29 8 26 18 28 25
10 16 14 9 11 16 11 12 12 12 10 17 23 19 23 19 22 18
17 11 12 9 11 18 10 10 12 17 12 14 26 27 22 17 20 21
5 16 15 12 16 10 13 14 12 9 17 13 23 24 13 33 15 16
10 13 12 12 12 11 14 12 13 10 15 14 25 26 23 23 21 17
