AIC BIC aBIC DIC
msst_long_bayes_r7 NA NA NA 83570.273
cuts_wide_ml_r7 -999 -999 -999 -999
cuts_long_ml_r7 -999 -999 -999 -999
cuts_wide_bayes_r7 NA NA NA NA
cuts_long_bayes_r7 NA NA NA 79442.366
tso_wide_ml_r7 78988.973 79048.892 78976.252 NA
tso_wide_bayes_r7 NA NA NA NA
tso_long_bayes_r7 NA NA NA 70572.385
msst_wide_ml_r8 84677.834 84719.517 84668.985 NA
msst_long_ml_r8 84661.14 84768.332 84717.489 NA
msst_wide_bayes_r8 NA NA NA NA
msst_long_bayes_r8 NA NA NA 83674.271
cuts_wide_ml_r8 -999 -999 -999 -999
cuts_long_ml_r8 -999 -999 -999 -999
cuts_wide_bayes_r8 NA NA NA NA
cuts_long_bayes_r8 NA NA NA 79265.005
tso_wide_ml_r8 78920.742 78980.661 78908.021 NA
tso_wide_bayes_r8 NA NA NA NA
tso_long_bayes_r8 NA NA NA 70809.07
msst_wide_ml_r9 84184.925 84226.608 84176.076 NA
msst_long_ml_r9 84169.534 84276.726 84225.882 NA
msst_wide_bayes_r9 NA NA NA NA
msst_long_bayes_r9 NA NA NA 83242.699
cuts_wide_ml_r9 -999 -999 -999 -999
cuts_long_ml_r9 -999 -999 -999 -999
cuts_wide_bayes_r9 NA NA NA NA
cuts_long_bayes_r9 NA NA NA 79079.187
tso_wide_ml_r9 78789.088 78849.007 78776.367 NA
tso_wide_bayes_r9 NA NA NA NA
tso_long_bayes_r9 NA NA NA 70536.927
msst_wide_ml_r10 83883.23 83924.913 83874.381 NA
msst_long_ml_r10 83868.576 83975.769 83924.925 NA
msst_wide_bayes_r10 NA NA NA NA
msst_long_bayes_r10 NA NA NA 82977.997
cuts_wide_ml_r10 -999 -999 -999 -999
cuts_long_ml_r10 -999 -999 -999 -999
cuts_wide_bayes_r10 NA NA NA NA
cuts_long_bayes_r10 NA NA NA 78879.474
tso_wide_ml_r10 78507.129 78567.048 78494.409 NA
tso_wide_bayes_r10 NA NA NA NA
tso_long_bayes_r10 NA NA NA 70189.194
msst_wide_ml_r11 84314.555 84356.238 84305.706 NA
msst_long_ml_r11 84300.061 84407.254 84356.41 NA
msst_wide_bayes_r11 NA NA NA NA
msst_long_bayes_r11 NA NA NA 83367.635
cuts_wide_ml_r11 -999 -999 -999 -999
cuts_long_ml_r11 -999 -999 -999 -999
cuts_wide_bayes_r11 NA NA NA NA
cuts_long_bayes_r11 NA NA NA 79060.588
tso_wide_ml_r11 78899.859 78959.778 78887.138 NA
tso_wide_bayes_r11 NA NA NA NA
tso_long_bayes_r11 NA NA NA 70531.925
msst_wide_ml_r12 84259.882 84301.565 84251.033 NA
msst_long_ml_r12 84241.405 84348.597 84297.754 NA
msst_wide_bayes_r12 NA NA NA NA
msst_long_bayes_r12 NA NA NA 83215.489
cuts_wide_ml_r12 -999 -999 -999 -999
cuts_long_ml_r12 -999 -999 -999 -999
cuts_wide_bayes_r12 NA NA NA NA
cuts_long_bayes_r12 NA NA NA 78984.125
tso_wide_ml_r12 78602.686 78662.605 78589.965 NA
tso_wide_bayes_r12 NA NA NA NA
tso_long_bayes_r12 NA NA NA 70311.613
msst_wide_ml_r13 84367.822 84409.504 84358.972 NA
msst_long_ml_r13 84352.087 84459.279 84408.435 NA
msst_wide_bayes_r13 NA NA NA NA
msst_long_bayes_r13 NA NA NA 83422.588
cuts_wide_ml_r13 -999 -999 -999 -999
cuts_long_ml_r13 -999 -999 -999 -999
cuts_wide_bayes_r13 NA NA NA NA
cuts_long_bayes_r13 NA NA NA 78997.87
tso_wide_ml_r13 78607.224 78667.143 78594.503 NA
tso_wide_bayes_r13 NA NA NA NA
tso_long_bayes_r13 NA NA NA 70381.384
msst_wide_ml_r14 84362.187 84403.869 84353.337 NA
msst_long_ml_r14 84346.714 84453.906 84403.062 NA
msst_wide_bayes_r14 NA NA NA NA
msst_long_bayes_r14 NA NA NA 83384.48
cuts_wide_ml_r14 -999 -999 -999 -999
cuts_long_ml_r14 -999 -999 -999 -999
cuts_wide_bayes_r14 NA NA NA NA
cuts_long_bayes_r14 NA NA NA 78948.574
tso_wide_ml_r14 78625.026 78684.945 78612.305 NA
tso_wide_bayes_r14 NA NA NA NA
tso_long_bayes_r14 NA NA NA 70263.134
msst_wide_ml_r15 85475.217 85516.899 85466.367 NA
msst_long_ml_r15 85458.758 85565.95 85515.106 NA
msst_wide_bayes_r15 NA NA NA NA
msst_long_bayes_r15 NA NA NA 84462.727
cuts_wide_ml_r15 -999 -999 -999 -999
cuts_long_ml_r15 -999 -999 -999 -999
cuts_wide_bayes_r15 NA NA NA NA
cuts_long_bayes_r15 NA NA NA 79069.61
tso_wide_ml_r15 78736.134 78796.053 78723.413 NA
tso_wide_bayes_r15 NA NA NA NA
tso_long_bayes_r15 NA NA NA 70395.834
msst_wide_ml_r16 84675.978 84717.661 84667.129 NA
msst_long_ml_r16 84661.297 84768.489 84717.646 NA
msst_wide_bayes_r16 NA NA NA NA
msst_long_bayes_r16 NA NA NA 83726.391
cuts_wide_ml_r16 -999 -999 -999 -999
cuts_long_ml_r16 -999 -999 -999 -999
cuts_wide_bayes_r16 NA NA NA NA
cuts_long_bayes_r16 NA NA NA 79022.244
tso_wide_ml_r16 78725.492 78785.411 78712.771 NA
tso_wide_bayes_r16 NA NA NA NA
tso_long_bayes_r16 NA NA NA 70370.382
msst_wide_ml_r17 84117.906 84159.588 84109.056 NA
msst_long_ml_r17 84098.953 84206.145 84155.302 NA
msst_wide_bayes_r17 NA NA NA NA
msst_long_bayes_r17 NA NA NA 83035.959
cuts_wide_ml_r17 -999 -999 -999 -999
cuts_long_ml_r17 -999 -999 -999 -999
cuts_wide_bayes_r17 NA NA NA NA
cuts_long_bayes_r17 NA NA NA 78968.569
tso_wide_ml_r17 78698.624 78758.543 78685.904 NA
tso_wide_bayes_r17 NA NA NA NA
tso_long_bayes_r17 NA NA NA 70270.528
msst_wide_ml_r18 84191.688 84233.37 84182.838 NA
msst_long_ml_r18 84173.152 84280.344 84229.501 NA
msst_wide_bayes_r18 NA NA NA NA
msst_long_bayes_r18 NA NA NA 83139.141
cuts_wide_ml_r18 -999 -999 -999 -999
cuts_long_ml_r18 -999 -999 -999 -999
cuts_wide_bayes_r18 NA NA NA NA
cuts_long_bayes_r18 NA NA NA 79196.644
tso_wide_ml_r18 78847.534 78907.453 78834.814 NA
tso_wide_bayes_r18 NA NA NA NA
tso_long_bayes_r18 NA NA NA 70427.624
msst_wide_ml_r19 84593.039 84634.722 84584.19 NA
msst_long_ml_r19 84578.973 84686.165 84635.322 NA
msst_wide_bayes_r19 NA NA NA NA
msst_long_bayes_r19 NA NA NA 83693.249
cuts_wide_ml_r19 -999 -999 -999 -999
cuts_long_ml_r19 -999 -999 -999 -999
cuts_wide_bayes_r19 NA NA NA NA
cuts_long_bayes_r19 NA NA NA 79147.457
tso_wide_ml_r19 78632.603 78692.522 78619.882 NA
tso_wide_bayes_r19 NA NA NA NA
tso_long_bayes_r19 NA NA NA 70232.39
msst_wide_ml_r20 85423.515 85465.198 85414.666 NA
msst_long_ml_r20 85406.995 85514.187 85463.344 NA
msst_wide_bayes_r20 NA NA NA NA
msst_long_bayes_r20 NA NA NA 84416.391
cuts_wide_ml_r20 -999 -999 -999 -999
cuts_long_ml_r20 -999 -999 -999 -999
cuts_wide_bayes_r20 NA NA NA NA
cuts_long_bayes_r20 NA NA NA 79292.151
tso_wide_ml_r20 78917.514 78977.433 78904.793 NA
tso_wide_bayes_r20 NA NA NA NA
tso_long_bayes_r20 NA NA NA 70538.125
msst_wide_ml_r21 83987.753 84029.436 83978.904 NA
msst_long_ml_r21 83972.396 84079.589 84028.745 NA
msst_wide_bayes_r21 NA NA NA NA
msst_long_bayes_r21 NA NA NA 83029.878
cuts_wide_ml_r21 -999 -999 -999 -999
cuts_long_ml_r21 -999 -999 -999 -999
cuts_wide_bayes_r21 NA NA NA NA
cuts_long_bayes_r21 NA NA NA 78874.635
tso_wide_ml_r21 78538.217 78598.136 78525.496 NA
tso_wide_bayes_r21 NA NA NA NA
tso_long_bayes_r21 NA NA NA 70158.267
msst_wide_ml_r22 83675.274 83716.957 83666.425 NA
msst_long_ml_r22 83661.69 83768.882 83718.039 NA
msst_wide_bayes_r22 NA NA NA NA
msst_long_bayes_r22 NA NA NA 82806.101
cuts_wide_ml_r22 -999 -999 -999 -999
cuts_long_ml_r22 -999 -999 -999 -999
cuts_wide_bayes_r22 NA NA NA NA
cuts_long_bayes_r22 NA NA NA 79102.674
tso_wide_ml_r22 78816.715 78876.633 78803.994 NA
tso_wide_bayes_r22 NA NA NA NA
tso_long_bayes_r22 NA NA NA 70492.898
msst_wide_ml_r23 84296.42 84338.103 84287.571 NA
msst_long_ml_r23 84280.195 84387.387 84336.544 NA
msst_wide_bayes_r23 NA NA NA NA
msst_long_bayes_r23 NA NA NA 83317.012
cuts_wide_ml_r23 -999 -999 -999 -999
cuts_long_ml_r23 -999 -999 -999 -999
cuts_wide_bayes_r23 NA NA NA NA
cuts_long_bayes_r23 NA NA NA 79147.48
tso_wide_ml_r23 78694.232 78754.151 78681.512 NA
tso_wide_bayes_r23 NA NA NA NA
tso_long_bayes_r23 NA NA NA 70303.662
msst_wide_ml_r24 83509.36 83551.043 83500.511 NA
msst_long_ml_r24 83495.143 83602.335 83551.491 NA
msst_wide_bayes_r24 NA NA NA NA
msst_long_bayes_r24 NA NA NA 82609.331
cuts_wide_ml_r24 -999 -999 -999 -999
cuts_long_ml_r24 -999 -999 -999 -999
cuts_wide_bayes_r24 NA NA NA NA
cuts_long_bayes_r24 NA NA NA 78667.45
tso_wide_ml_r24 78274.622 78334.541 78261.902 NA
tso_wide_bayes_r24 NA NA NA NA
tso_long_bayes_r24 NA NA NA 69975.94
msst_wide_ml_r25 84882.113 84923.795 84873.263 NA
msst_long_ml_r25 84865.549 84972.741 84921.897 NA
msst_wide_bayes_r25 NA NA NA NA
msst_long_bayes_r25 NA NA NA 83891.638
cuts_wide_ml_r25 -999 -999 -999 -999
cuts_long_ml_r25 -999 -999 -999 -999
cuts_wide_bayes_r25 NA NA NA NA
cuts_long_bayes_r25 NA NA NA 79249.49
tso_wide_ml_r25 78881.544 78941.463 78868.823 NA
tso_wide_bayes_r25 NA NA NA NA
tso_long_bayes_r25 NA NA NA 70519.627
msst_wide_ml_r26 84209.628 84251.311 84200.779 NA
msst_long_ml_r26 84192.252 84299.444 84248.6 NA
msst_wide_bayes_r26 NA NA NA NA
msst_long_bayes_r26 NA NA NA 83194.548
cuts_wide_ml_r26 -999 -999 -999 -999
cuts_long_ml_r26 -999 -999 -999 -999
cuts_wide_bayes_r26 NA NA NA NA
cuts_long_bayes_r26 NA NA NA 79250.298
tso_wide_ml_r26 78788.482 78848.401 78775.762 NA
tso_wide_bayes_r26 NA NA NA NA
tso_long_bayes_r26 NA NA NA 70531.816
msst_wide_ml_r27 83422.521 83464.203 83413.671 NA
msst_long_ml_r27 83404.583 83511.776 83460.932 NA
msst_wide_bayes_r27 NA NA NA NA
msst_long_bayes_r27 NA NA NA 82419.6
cuts_wide_ml_r27 -999 -999 -999 -999
cuts_long_ml_r27 -999 -999 -999 -999
cuts_wide_bayes_r27 NA NA NA NA
cuts_long_bayes_r27 NA NA NA 79019.14
tso_wide_ml_r27 78580.505 78640.424 78567.785 NA
tso_wide_bayes_r27 NA NA NA NA
tso_long_bayes_r27 NA NA NA 70285.632
msst_wide_ml_r28 84479.725 84521.408 84470.876 NA
msst_long_ml_r28 84463.909 84571.101 84520.258 NA
msst_wide_bayes_r28 NA NA NA NA
msst_long_bayes_r28 NA NA NA 83516.743
cuts_wide_ml_r28 -999 -999 -999 -999
cuts_long_ml_r28 -999 -999 -999 -999
cuts_wide_bayes_r28 NA NA NA NA
cuts_long_bayes_r28 NA NA NA 78986.333
tso_wide_ml_r28 78786.03 78845.949 78773.309 NA
tso_wide_bayes_r28 NA NA NA NA
tso_long_bayes_r28 NA NA NA 70769.667
msst_wide_ml_r29 83906.447 83948.13 83897.598 NA
msst_long_ml_r29 83890.673 83997.865 83947.022 NA
msst_wide_bayes_r29 NA NA NA NA
msst_long_bayes_r29 NA NA NA 82931.343
cuts_wide_ml_r29 -999 -999 -999 -999
cuts_long_ml_r29 -999 -999 -999 -999
cuts_wide_bayes_r29 NA NA NA NA
cuts_long_bayes_r29 NA NA NA 78769.195
tso_wide_ml_r29 78450.996 78510.915 78438.275 NA
tso_wide_bayes_r29 NA NA NA NA
tso_long_bayes_r29 NA NA NA 70026.164
msst_wide_ml_r30 84054.141 84095.824 84045.292 NA
msst_long_ml_r30 84041.264 84148.456 84097.612 NA
msst_wide_bayes_r30 NA NA NA NA
msst_long_bayes_r30 NA NA NA 83200.055
cuts_wide_ml_r30 -999 -999 -999 -999
cuts_long_ml_r30 -999 -999 -999 -999
cuts_wide_bayes_r30 NA NA NA NA
cuts_long_bayes_r30 NA NA NA 79165.461
tso_wide_ml_r30 78738.611 78798.53 78725.89 NA
tso_wide_bayes_r30 NA NA NA NA
tso_long_bayes_r30 NA NA NA 70683.991
msst_wide_ml_r31 84533.315 84574.998 84524.466 NA
msst_long_ml_r31 84514.618 84621.81 84570.967 NA
msst_wide_bayes_r31 NA NA NA NA
msst_long_bayes_r31 NA NA NA 83463.787
cuts_wide_ml_r31 -999 -999 -999 -999
cuts_long_ml_r31 -999 -999 -999 -999
cuts_wide_bayes_r31 NA NA NA NA
cuts_long_bayes_r31 NA NA NA 79228.392
tso_wide_ml_r31 78994.164 79054.083 78981.443 NA
tso_wide_bayes_r31 NA NA NA NA
tso_long_bayes_r31 NA NA NA 70446.63
msst_wide_ml_r32 84326.728 84368.411 84317.879 NA
msst_long_ml_r32 84312.935 84420.127 84369.283 NA
msst_wide_bayes_r32 NA NA NA NA
msst_long_bayes_r32 NA NA NA 83436.602
cuts_wide_ml_r32 -999 -999 -999 -999
cuts_long_ml_r32 -999 -999 -999 -999
cuts_wide_bayes_r32 NA NA NA NA
cuts_long_bayes_r32 NA NA NA 79053.872
tso_wide_ml_r32 78634.89 78694.809 78622.169 NA
tso_wide_bayes_r32 NA NA NA NA
tso_long_bayes_r32 NA NA NA 70167.997
msst_wide_ml_r33 84786.323 84828.006 84777.473 NA
msst_long_ml_r33 84770.966 84878.158 84827.315 NA
msst_wide_bayes_r33 NA NA NA NA
msst_long_bayes_r33 NA NA NA 83859.515
cuts_wide_ml_r33 -999 -999 -999 -999
cuts_long_ml_r33 -999 -999 -999 -999
cuts_wide_bayes_r33 NA NA NA NA
cuts_long_bayes_r33 NA NA NA 79530.043
tso_wide_ml_r33 79014.151 79074.07 79001.43 NA
tso_wide_bayes_r33 NA NA NA NA
tso_long_bayes_r33 NA NA NA 70977.388
msst_wide_ml_r34 83666.335 83708.017 83657.485 NA
msst_long_ml_r34 83653.989 83761.181 83710.338 NA
msst_wide_bayes_r34 NA NA NA NA
msst_long_bayes_r34 NA NA NA 82853.318
cuts_wide_ml_r34 -999 -999 -999 -999
cuts_long_ml_r34 -999 -999 -999 -999
cuts_wide_bayes_r34 NA NA NA NA
cuts_long_bayes_r34 NA NA NA 78839.453
tso_wide_ml_r34 78362.636 78422.555 78349.915 NA
tso_wide_bayes_r34 NA NA NA NA
tso_long_bayes_r34 NA NA NA 70166.009
msst_wide_ml_r35 84349.104 84390.787 84340.255 NA
msst_long_ml_r35 84332.188 84439.38 84388.537 NA
msst_wide_bayes_r35 NA NA NA NA
msst_long_bayes_r35 NA NA NA 83312.987
cuts_wide_ml_r35 -999 -999 -999 -999
cuts_long_ml_r35 -999 -999 -999 -999
cuts_wide_bayes_r35 NA NA NA NA
cuts_long_bayes_r35 NA NA NA 79062.508
tso_wide_ml_r35 78841.111 78901.03 78828.391 NA
tso_wide_bayes_r35 NA NA NA NA
tso_long_bayes_r35 NA NA NA 70358.055
msst_wide_ml_r36 84051.29 84092.972 84042.44 NA
msst_long_ml_r36 84036.559 84143.751 84092.908 NA
msst_wide_bayes_r36 NA NA NA NA
msst_long_bayes_r36 NA NA NA 83130.227
cuts_wide_ml_r36 -999 -999 -999 -999
cuts_long_ml_r36 -999 -999 -999 -999
cuts_wide_bayes_r36 NA NA NA NA
cuts_long_bayes_r36 NA NA NA 78977.158
tso_wide_ml_r36 78628.972 78688.891 78616.251 NA
tso_wide_bayes_r36 NA NA NA NA
tso_long_bayes_r36 NA NA NA 70317.668
msst_wide_ml_r37 84578.326 84620.009 84569.477 NA
msst_long_ml_r37 84561.752 84668.944 84618.1 NA
msst_wide_bayes_r37 NA NA NA NA
msst_long_bayes_r37 NA NA NA 83577.724
cuts_wide_ml_r37 -999 -999 -999 -999
cuts_long_ml_r37 -999 -999 -999 -999
cuts_wide_bayes_r37 NA NA NA NA
cuts_long_bayes_r37 NA NA NA 79003.014
tso_wide_ml_r37 78718.199 78778.117 78705.478 NA
tso_wide_bayes_r37 NA NA NA NA
tso_long_bayes_r37 NA NA NA 70431.322
msst_wide_ml_r38 83718.234 83759.917 83709.385 NA
msst_long_ml_r38 83701.003 83808.195 83757.352 NA
msst_wide_bayes_r38 NA NA NA NA
msst_long_bayes_r38 NA NA NA 82708.317
cuts_wide_ml_r38 -999 -999 -999 -999
cuts_long_ml_r38 -999 -999 -999 -999
cuts_wide_bayes_r38 NA NA NA NA
cuts_long_bayes_r38 NA NA NA 78873.713
tso_wide_ml_r38 78502.208 78562.127 78489.487 NA
tso_wide_bayes_r38 NA NA NA NA
tso_long_bayes_r38 NA NA NA 70080.269
msst_wide_ml_r39 84330.879 84372.561 84322.029 NA
msst_long_ml_r39 84314.491 84421.683 84370.84 NA
msst_wide_bayes_r39 NA NA NA NA
msst_long_bayes_r39 NA NA NA 83355.198
cuts_wide_ml_r39 -999 -999 -999 -999
cuts_long_ml_r39 -999 -999 -999 -999
cuts_wide_bayes_r39 NA NA NA NA
cuts_long_bayes_r39 NA NA NA 79254.432
tso_wide_ml_r39 78889.194 78949.113 78876.473 NA
tso_wide_bayes_r39 NA NA NA NA
tso_long_bayes_r39 NA NA NA 70733.791
msst_wide_ml_r40 84592.761 84634.444 84583.912 NA
msst_long_ml_r40 84578.6 84685.792 84634.949 NA
msst_wide_bayes_r40 NA NA NA NA
msst_long_bayes_r40 NA NA NA 83700.121
cuts_wide_ml_r40 -999 -999 -999 -999
cuts_long_ml_r40 -999 -999 -999 -999
cuts_wide_bayes_r40 NA NA NA NA
cuts_long_bayes_r40 NA NA NA 79173.969
tso_wide_ml_r40 78704.932 78764.851 78692.211 NA
tso_wide_bayes_r40 NA NA NA NA
tso_long_bayes_r40 NA NA NA 70257.253
msst_wide_ml_r41 83280.598 83322.281 83271.749 NA
msst_long_ml_r41 83265.767 83372.959 83322.115 NA
msst_wide_bayes_r41 NA NA NA NA
msst_long_bayes_r41 NA NA NA 82360.776
cuts_wide_ml_r41 -999 -999 -999 -999
cuts_long_ml_r41 -999 -999 -999 -999
cuts_wide_bayes_r41 NA NA NA NA
cuts_long_bayes_r41 NA NA NA 78858.32
tso_wide_ml_r41 78412.992 78472.911 78400.272 NA
tso_wide_bayes_r41 NA NA NA NA
tso_long_bayes_r41 NA NA NA 70159.842
msst_wide_ml_r42 84748.815 84790.497 84739.965 NA
msst_long_ml_r42 84732.941 84840.133 84789.29 NA
msst_wide_bayes_r42 NA NA NA NA
msst_long_bayes_r42 NA NA NA 83758.865
cuts_wide_ml_r42 -999 -999 -999 -999
cuts_long_ml_r42 -999 -999 -999 -999
cuts_wide_bayes_r42 NA NA NA NA
cuts_long_bayes_r42 NA NA NA 79009.326
tso_wide_ml_r42 78809.849 78869.768 78797.128 NA
tso_wide_bayes_r42 NA NA NA NA
tso_long_bayes_r42 NA NA NA 70565.901
msst_wide_ml_r43 84739.633 84781.315 84730.783 NA
msst_long_ml_r43 84724.879 84832.072 84781.228 NA
msst_wide_bayes_r43 NA NA NA NA
msst_long_bayes_r43 NA NA NA 83814.13
cuts_wide_ml_r43 -999 -999 -999 -999
cuts_long_ml_r43 -999 -999 -999 -999
cuts_wide_bayes_r43 NA NA NA NA
cuts_long_bayes_r43 NA NA NA 79177.73
tso_wide_ml_r43 78720.572 78780.491 78707.852 NA
tso_wide_bayes_r43 NA NA NA NA
tso_long_bayes_r43 NA NA NA 70035.633
msst_wide_ml_r44 84271.214 84312.897 84262.365 NA
msst_long_ml_r44 84255.719 84362.912 84312.068 NA
msst_wide_bayes_r44 NA NA NA NA
msst_long_bayes_r44 NA NA NA 83319.755
cuts_wide_ml_r44 -999 -999 -999 -999
cuts_long_ml_r44 -999 -999 -999 -999
cuts_wide_bayes_r44 NA NA NA NA
cuts_long_bayes_r44 NA NA NA 79011.11
tso_wide_ml_r44 78584.817 78644.736 78572.096 NA
tso_wide_bayes_r44 NA NA NA NA
tso_long_bayes_r44 NA NA NA 70294.532
msst_wide_ml_r45 84632.517 84674.199 84623.667 NA
msst_long_ml_r45 84619.074 84726.266 84675.423 NA
msst_wide_bayes_r45 NA NA NA NA
msst_long_bayes_r45 NA NA NA 83738.762
cuts_wide_ml_r45 -999 -999 -999 -999
cuts_long_ml_r45 -999 -999 -999 -999
cuts_wide_bayes_r45 NA NA NA NA
cuts_long_bayes_r45 NA NA NA 79216.33
tso_wide_ml_r45 78786.31 78846.229 78773.589 NA
tso_wide_bayes_r45 NA NA NA NA
tso_long_bayes_r45 NA NA NA 70361.481
msst_wide_ml_r46 84241.287 84282.97 84232.438 NA
msst_long_ml_r46 84225.947 84333.139 84282.295 NA
msst_wide_bayes_r46 NA NA NA NA
msst_long_bayes_r46 NA NA NA 83285.619
cuts_wide_ml_r46 -999 -999 -999 -999
cuts_long_ml_r46 -999 -999 -999 -999
cuts_wide_bayes_r46 NA NA NA NA
cuts_long_bayes_r46 NA NA NA 78736.081
tso_wide_ml_r46 78386.467 78446.386 78373.746 NA
tso_wide_bayes_r46 NA NA NA NA
tso_long_bayes_r46 NA NA NA 70050.122
msst_wide_ml_r47 84318.915 84360.598 84310.066 NA
msst_long_ml_r47 84304.751 84411.943 84361.1 NA
msst_wide_bayes_r47 NA NA NA NA
msst_long_bayes_r47 NA NA NA 83424.982
cuts_wide_ml_r47 -999 -999 -999 -999
cuts_long_ml_r47 -999 -999 -999 -999
cuts_wide_bayes_r47 NA NA NA NA
cuts_long_bayes_r47 NA NA NA 78948.529
tso_wide_ml_r47 78567.988 78627.907 78555.267 NA
tso_wide_bayes_r47 NA NA NA NA
tso_long_bayes_r47 NA NA NA 70160.061
msst_wide_ml_r48 84889.139 84930.822 84880.29 NA
msst_long_ml_r48 84870.538 84977.73 84926.886 NA
msst_wide_bayes_r48 NA NA NA NA
msst_long_bayes_r48 NA NA NA 83816.948
cuts_wide_ml_r48 -999 -999 -999 -999
cuts_long_ml_r48 -999 -999 -999 -999
cuts_wide_bayes_r48 NA NA NA NA
cuts_long_bayes_r48 NA NA NA 79235.917
tso_wide_ml_r48 78879.932 78939.851 78867.211 NA
tso_wide_bayes_r48 NA NA NA NA
tso_long_bayes_r48 NA NA NA 70496.04
msst_wide_ml_r49 84258.728 84300.411 84249.879 NA
msst_long_ml_r49 84244.391 84351.583 84300.739 NA
msst_wide_bayes_r49 NA NA NA NA
msst_long_bayes_r49 NA NA NA 83366.039
cuts_wide_ml_r49 -999 -999 -999 -999
cuts_long_ml_r49 -999 -999 -999 -999
cuts_wide_bayes_r49 NA NA NA NA
cuts_long_bayes_r49 NA NA NA 79724.309
tso_wide_ml_r49 79196.871 79256.79 79184.15 NA
tso_wide_bayes_r49 NA NA NA NA
tso_long_bayes_r49 NA NA NA 70896.948
msst_wide_ml_r50 84835.227 84876.91 84826.378 NA
msst_long_ml_r50 84818.526 84925.718 84874.875 NA
msst_wide_bayes_r50 NA NA NA NA
msst_long_bayes_r50 NA NA NA 83836.45
cuts_wide_ml_r50 -999 -999 -999 -999
cuts_long_ml_r50 -999 -999 -999 -999
cuts_wide_bayes_r50 NA NA NA NA
cuts_long_bayes_r50 NA NA NA 79365.91
tso_wide_ml_r50 78872.814 78932.732 78860.093 NA
tso_wide_bayes_r50 NA NA NA NA
tso_long_bayes_r50 NA NA NA 70414.902
msst_wide_ml_r51 84725.708 84767.391 84716.858 NA
msst_long_ml_r51 84710.499 84817.691 84766.848 NA
